Planning Area,Subzone,Age Group,Type of Dwelling,2024
Pasir Ris,Pasir Ris Central,5 - 9,5-Room and Executive Flats,550
Pasir Ris,Pasir Ris Central,5 - 9,Condominiums and Other Apartments,640
Pasir Ris,Pasir Ris Central,5 - 9,Landed Properties,20
Pasir Ris,Pasir Ris Central,5 - 9,Others,-
Pasir Ris,Pasir Ris Central,10 - 14,Total,1690
Pasir Ris,Pasir Ris Central,10 - 14,Total HDB^,950
Pasir Ris,Pasir Ris Central,10 - 14,1- and 2-Room Flats*,20
Pasir Ris,Pasir Ris Central,10 - 14,3-Room Flats,40
Pasir Ris,Pasir Ris Central,10 - 14,4-Room Flats,320
Pasir Ris,Pasir Ris Central,10 - 14,5-Room and Executive Flats,580
Pasir Ris,Pasir Ris Central,10 - 14,Condominiums and Other Apartments,720
Pasir Ris,Pasir Ris Central,10 - 14,Landed Properties,20
Pasir Ris,Pasir Ris Central,10 - 14,Others,-
Pasir Ris,Pasir Ris Central,15 - 19,Total,1650
Pasir Ris,Pasir Ris Central,15 - 19,Total HDB^,950
Pasir Ris,Pasir Ris Central,15 - 19,1- and 2-Room Flats*,20
Pasir Ris,Pasir Ris Central,15 - 19,3-Room Flats,20
Pasir Ris,Pasir Ris Central,15 - 19,4-Room Flats,200
Pasir Ris,Pasir Ris Central,15 - 19,5-Room and Executive Flats,700
Pasir Ris,Pasir Ris Central,15 - 19,Condominiums and Other Apartments,670
Pasir Ris,Pasir Ris Central,15 - 19,Landed Properties,30
Pasir Ris,Pasir Ris Central,15 - 19,Others,-
Pasir Ris,Pasir Ris Central,20 - 24,Total,1950
Pasir Ris,Pasir Ris Central,20 - 24,Total HDB^,1270
Pasir Ris,Pasir Ris Central,20 - 24,1- and 2-Room Flats*,30
Pasir Ris,Pasir Ris Central,20 - 24,3-Room Flats,40
Pasir Ris,Pasir Ris Central,20 - 24,4-Room Flats,310
Pasir Ris,Pasir Ris Central,20 - 24,5-Room and Executive Flats,890
Pasir Ris,Pasir Ris Central,20 - 24,Condominiums and Other Apartments,650
Pasir Ris,Pasir Ris Central,20 - 24,Landed Properties,30
Pasir Ris,Pasir Ris Central,20 - 24,Others,-
Pasir Ris,Pasir Ris Central,25 - 29,Total,2480
Pasir Ris,Pasir Ris Central,25 - 29,Total HDB^,1850
Pasir Ris,Pasir Ris Central,25 - 29,1- and 2-Room Flats*,20
Pasir Ris,Pasir Ris Central,25 - 29,3-Room Flats,40
Pasir Ris,Pasir Ris Central,25 - 29,4-Room Flats,520
Pasir Ris,Pasir Ris Central,25 - 29,5-Room and Executive Flats,1270
Pasir Ris,Pasir Ris Central,25 - 29,Condominiums and Other Apartments,590
Pasir Ris,Pasir Ris Central,25 - 29,Landed Properties,40
Pasir Ris,Pasir Ris Central,25 - 29,Others,-
Pasir Ris,Pasir Ris Central,30 - 34,Total,2440
Pasir Ris,Pasir Ris Central,30 - 34,Total HDB^,1780
Pasir Ris,Pasir Ris Central,30 - 34,1- and 2-Room Flats*,20
Pasir Ris,Pasir Ris Central,30 - 34,3-Room Flats,60
Pasir Ris,Pasir Ris Central,30 - 34,4-Room Flats,610
Pasir Ris,Pasir Ris Central,30 - 34,5-Room and Executive Flats,1100
Pasir Ris,Pasir Ris Central,30 - 34,Condominiums and Other Apartments,630
Pasir Ris,Pasir Ris Central,30 - 34,Landed Properties,30
Pasir Ris,Pasir Ris Central,30 - 34,Others,-
Pasir Ris,Pasir Ris Central,35 - 39,Total,2320
Pasir Ris,Pasir Ris Central,35 - 39,Total HDB^,1490
Pasir Ris,Pasir Ris Central,35 - 39,1- and 2-Room Flats*,20
Pasir Ris,Pasir Ris Central,35 - 39,3-Room Flats,70
Pasir Ris,Pasir Ris Central,35 - 39,4-Room Flats,640
Pasir Ris,Pasir Ris Central,35 - 39,5-Room and Executive Flats,760
Pasir Ris,Pasir Ris Central,35 - 39,Condominiums and Other Apartments,800
Pasir Ris,Pasir Ris Central,35 - 39,Landed Properties,20
Pasir Ris,Pasir Ris Central,35 - 39,Others,-
Pasir Ris,Pasir Ris Central,40 - 44,Total,2360
Pasir Ris,Pasir Ris Central,40 - 44,Total HDB^,1380
Pasir Ris,Pasir Ris Central,40 - 44,1- and 2-Room Flats*,30
Pasir Ris,Pasir Ris Central,40 - 44,3-Room Flats,80
Pasir Ris,Pasir Ris Central,40 - 44,4-Room Flats,550
Pasir Ris,Pasir Ris Central,40 - 44,5-Room and Executive Flats,730
Pasir Ris,Pasir Ris Central,40 - 44,Condominiums and Other Apartments,950
Pasir Ris,Pasir Ris Central,40 - 44,Landed Properties,20
Pasir Ris,Pasir Ris Central,40 - 44,Others,-
Pasir Ris,Pasir Ris Central,45 - 49,Total,2260
Pasir Ris,Pasir Ris Central,45 - 49,Total HDB^,1170
Pasir Ris,Pasir Ris Central,45 - 49,1- and 2-Room Flats*,40
Pasir Ris,Pasir Ris Central,45 - 49,3-Room Flats,60
Pasir Ris,Pasir Ris Central,45 - 49,4-Room Flats,410
Pasir Ris,Pasir Ris Central,45 - 49,5-Room and Executive Flats,670
Pasir Ris,Pasir Ris Central,45 - 49,Condominiums and Other Apartments,1060
Pasir Ris,Pasir Ris Central,45 - 49,Landed Properties,20
Pasir Ris,Pasir Ris Central,45 - 49,Others,-
Pasir Ris,Pasir Ris Central,50 - 54,Total,2240
Pasir Ris,Pasir Ris Central,50 - 54,Total HDB^,1280
Pasir Ris,Pasir Ris Central,50 - 54,1- and 2-Room Flats*,30
Pasir Ris,Pasir Ris Central,50 - 54,3-Room Flats,70
Pasir Ris,Pasir Ris Central,50 - 54,4-Room Flats,310
Pasir Ris,Pasir Ris Central,50 - 54,5-Room and Executive Flats,860
Pasir Ris,Pasir Ris Central,50 - 54,Condominiums and Other Apartments,940
Pasir Ris,Pasir Ris Central,50 - 54,Landed Properties,20
Pasir Ris,Pasir Ris Central,50 - 54,Others,-
Pasir Ris,Pasir Ris Central,55 - 59,Total,2660
Pasir Ris,Pasir Ris Central,55 - 59,Total HDB^,1850
Pasir Ris,Pasir Ris Central,55 - 59,1- and 2-Room Flats*,40
Pasir Ris,Pasir Ris Central,55 - 59,3-Room Flats,70
Pasir Ris,Pasir Ris Central,55 - 59,4-Room Flats,490
Pasir Ris,Pasir Ris Central,55 - 59,5-Room and Executive Flats,1240
Pasir Ris,Pasir Ris Central,55 - 59,Condominiums and Other Apartments,780
Pasir Ris,Pasir Ris Central,55 - 59,Landed Properties,30
Pasir Ris,Pasir Ris Central,55 - 59,Others,-
Pasir Ris,Pasir Ris Central,60 - 64,Total,2640
Pasir Ris,Pasir Ris Central,60 - 64,Total HDB^,2000
Pasir Ris,Pasir Ris Central,60 - 64,1- and 2-Room Flats*,60
Pasir Ris,Pasir Ris Central,60 - 64,3-Room Flats,50
Pasir Ris,Pasir Ris Central,60 - 64,4-Room Flats,540
Pasir Ris,Pasir Ris Central,60 - 64,5-Room and Executive Flats,1340
Pasir Ris,Pasir Ris Central,60 - 64,Condominiums and Other Apartments,600
Pasir Ris,Pasir Ris Central,60 - 64,Landed Properties,40
Pasir Ris,Pasir Ris Central,60 - 64,Others,-
Pasir Ris,Pasir Ris Central,65 - 69,Total,1820
Pasir Ris,Pasir Ris Central,65 - 69,Total HDB^,1400
Pasir Ris,Pasir Ris Central,65 - 69,1- and 2-Room Flats*,60
Pasir Ris,Pasir Ris Central,65 - 69,3-Room Flats,50
Pasir Ris,Pasir Ris Central,65 - 69,4-Room Flats,330
Pasir Ris,Pasir Ris Central,65 - 69,5-Room and Executive Flats,960
Pasir Ris,Pasir Ris Central,65 - 69,Condominiums and Other Apartments,400
Pasir Ris,Pasir Ris Central,65 - 69,Landed Properties,30
Pasir Ris,Pasir Ris Central,65 - 69,Others,-
Pasir Ris,Pasir Ris Central,70 - 74,Total,1110
Pasir Ris,Pasir Ris Central,70 - 74,Total HDB^,890
Pasir Ris,Pasir Ris Central,70 - 74,1- and 2-Room Flats*,30
Pasir Ris,Pasir Ris Central,70 - 74,3-Room Flats,30
Pasir Ris,Pasir Ris Central,70 - 74,4-Room Flats,200
Pasir Ris,Pasir Ris Central,70 - 74,5-Room and Executive Flats,630
Pasir Ris,Pasir Ris Central,70 - 74,Condominiums and Other Apartments,210
Pasir Ris,Pasir Ris Central,70 - 74,Landed Properties,10
Pasir Ris,Pasir Ris Central,70 - 74,Others,-
Pasir Ris,Pasir Ris Central,75 - 79,Total,620
Pasir Ris,Pasir Ris Central,75 - 79,Total HDB^,490
Pasir Ris,Pasir Ris Central,75 - 79,1- and 2-Room Flats*,30
Pasir Ris,Pasir Ris Central,75 - 79,3-Room Flats,20
Pasir Ris,Pasir Ris Central,75 - 79,4-Room Flats,110
Pasir Ris,Pasir Ris Central,75 - 79,5-Room and Executive Flats,330
Pasir Ris,Pasir Ris Central,75 - 79,Condominiums and Other Apartments,120
Pasir Ris,Pasir Ris Central,75 - 79,Landed Properties,10
Pasir Ris,Pasir Ris Central,75 - 79,Others,-
Pasir Ris,Pasir Ris Central,80 - 84,Total,370
Pasir Ris,Pasir Ris Central,80 - 84,Total HDB^,290
Pasir Ris,Pasir Ris Central,80 - 84,1- and 2-Room Flats*,20
Pasir Ris,Pasir Ris Central,80 - 84,3-Room Flats,20
Pasir Ris,Pasir Ris Central,80 - 84,4-Room Flats,70
Pasir Ris,Pasir Ris Central,80 - 84,5-Room and Executive Flats,170
Pasir Ris,Pasir Ris Central,80 - 84,Condominiums and Other Apartments,70
Pasir Ris,Pasir Ris Central,80 - 84,Landed Properties,10
Pasir Ris,Pasir Ris Central,80 - 84,Others,-
Pasir Ris,Pasir Ris Central,85 - 89,Total,200
Pasir Ris,Pasir Ris Central,85 - 89,Total HDB^,170
Pasir Ris,Pasir Ris Central,85 - 89,1- and 2-Room Flats*,10
Pasir Ris,Pasir Ris Central,85 - 89,3-Room Flats,10
Pasir Ris,Pasir Ris Central,85 - 89,4-Room Flats,40
Pasir Ris,Pasir Ris Central,85 - 89,5-Room and Executive Flats,100
Pasir Ris,Pasir Ris Central,85 - 89,Condominiums and Other Apartments,30
Pasir Ris,Pasir Ris Central,85 - 89,Landed Properties,-
Pasir Ris,Pasir Ris Central,85 - 89,Others,-
Pasir Ris,Pasir Ris Central,90 & Over,Total,110
Pasir Ris,Pasir Ris Central,90 & Over,Total HDB^,90
Pasir Ris,Pasir Ris Central,90 & Over,1- and 2-Room Flats*,10
Pasir Ris,Pasir Ris Central,90 & Over,3-Room Flats,10
Pasir Ris,Pasir Ris Central,90 & Over,4-Room Flats,30
Pasir Ris,Pasir Ris Central,90 & Over,5-Room and Executive Flats,60
Pasir Ris,Pasir Ris Central,90 & Over,Condominiums and Other Apartments,10
Pasir Ris,Pasir Ris Central,90 & Over,Landed Properties,-
Pasir Ris,Pasir Ris Central,90 & Over,Others,-
Pasir Ris,Pasir Ris Drive,Total,Total,51680
Pasir Ris,Pasir Ris Drive,Total,Total HDB^,49950
Pasir Ris,Pasir Ris Drive,Total,1- and 2-Room Flats*,690
Pasir Ris,Pasir Ris Drive,Total,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,Total,4-Room Flats,20350
Pasir Ris,Pasir Ris Drive,Total,5-Room and Executive Flats,28910
Pasir Ris,Pasir Ris Drive,Total,Condominiums and Other Apartments,1690
Pasir Ris,Pasir Ris Drive,Total,Landed Properties,-
Pasir Ris,Pasir Ris Drive,Total,Others,40
Pasir Ris,Pasir Ris Drive,0 - 4,Total,1650
Pasir Ris,Pasir Ris Drive,0 - 4,Total HDB^,1610
Pasir Ris,Pasir Ris Drive,0 - 4,1- and 2-Room Flats*,10
Pasir Ris,Pasir Ris Drive,0 - 4,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,0 - 4,4-Room Flats,670
Pasir Ris,Pasir Ris Drive,0 - 4,5-Room and Executive Flats,940
Pasir Ris,Pasir Ris Drive,0 - 4,Condominiums and Other Apartments,40
Pasir Ris,Pasir Ris Drive,0 - 4,Landed Properties,-
Pasir Ris,Pasir Ris Drive,0 - 4,Others,-
Pasir Ris,Pasir Ris Drive,5 - 9,Total,1850
Pasir Ris,Pasir Ris Drive,5 - 9,Total HDB^,1750
Pasir Ris,Pasir Ris Drive,5 - 9,1- and 2-Room Flats*,10
Pasir Ris,Pasir Ris Drive,5 - 9,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,5 - 9,4-Room Flats,620
Pasir Ris,Pasir Ris Drive,5 - 9,5-Room and Executive Flats,1130
Pasir Ris,Pasir Ris Drive,5 - 9,Condominiums and Other Apartments,100
Pasir Ris,Pasir Ris Drive,5 - 9,Landed Properties,-
Pasir Ris,Pasir Ris Drive,5 - 9,Others,-
Pasir Ris,Pasir Ris Drive,10 - 14,Total,2140
Pasir Ris,Pasir Ris Drive,10 - 14,Total HDB^,1990
Pasir Ris,Pasir Ris Drive,10 - 14,1- and 2-Room Flats*,10
Pasir Ris,Pasir Ris Drive,10 - 14,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,10 - 14,4-Room Flats,690
Pasir Ris,Pasir Ris Drive,10 - 14,5-Room and Executive Flats,1290
Pasir Ris,Pasir Ris Drive,10 - 14,Condominiums and Other Apartments,150
Pasir Ris,Pasir Ris Drive,10 - 14,Landed Properties,-
Pasir Ris,Pasir Ris Drive,10 - 14,Others,-
Pasir Ris,Pasir Ris Drive,15 - 19,Total,2630
Pasir Ris,Pasir Ris Drive,15 - 19,Total HDB^,2490
Pasir Ris,Pasir Ris Drive,15 - 19,1- and 2-Room Flats*,30
Pasir Ris,Pasir Ris Drive,15 - 19,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,15 - 19,4-Room Flats,950
Pasir Ris,Pasir Ris Drive,15 - 19,5-Room and Executive Flats,1520
Pasir Ris,Pasir Ris Drive,15 - 19,Condominiums and Other Apartments,130
Pasir Ris,Pasir Ris Drive,15 - 19,Landed Properties,-
Pasir Ris,Pasir Ris Drive,15 - 19,Others,-
Pasir Ris,Pasir Ris Drive,20 - 24,Total,3580
Pasir Ris,Pasir Ris Drive,20 - 24,Total HDB^,3460
Pasir Ris,Pasir Ris Drive,20 - 24,1- and 2-Room Flats*,30
Pasir Ris,Pasir Ris Drive,20 - 24,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,20 - 24,4-Room Flats,1210
Pasir Ris,Pasir Ris Drive,20 - 24,5-Room and Executive Flats,2220
Pasir Ris,Pasir Ris Drive,20 - 24,Condominiums and Other Apartments,120
Pasir Ris,Pasir Ris Drive,20 - 24,Landed Properties,-
Pasir Ris,Pasir Ris Drive,20 - 24,Others,-
Pasir Ris,Pasir Ris Drive,25 - 29,Total,4980
Pasir Ris,Pasir Ris Drive,25 - 29,Total HDB^,4880
Pasir Ris,Pasir Ris Drive,25 - 29,1- and 2-Room Flats*,40
Pasir Ris,Pasir Ris Drive,25 - 29,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,25 - 29,4-Room Flats,1930
Pasir Ris,Pasir Ris Drive,25 - 29,5-Room and Executive Flats,2900
Pasir Ris,Pasir Ris Drive,25 - 29,Condominiums and Other Apartments,100
Pasir Ris,Pasir Ris Drive,25 - 29,Landed Properties,-
Pasir Ris,Pasir Ris Drive,25 - 29,Others,-
Pasir Ris,Pasir Ris Drive,30 - 34,Total,4370
Pasir Ris,Pasir Ris Drive,30 - 34,Total HDB^,4300
Pasir Ris,Pasir Ris Drive,30 - 34,1- and 2-Room Flats*,20
Pasir Ris,Pasir Ris Drive,30 - 34,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,30 - 34,4-Room Flats,1940
Pasir Ris,Pasir Ris Drive,30 - 34,5-Room and Executive Flats,2340
Pasir Ris,Pasir Ris Drive,30 - 34,Condominiums and Other Apartments,70
Pasir Ris,Pasir Ris Drive,30 - 34,Landed Properties,-
Pasir Ris,Pasir Ris Drive,30 - 34,Others,-
Pasir Ris,Pasir Ris Drive,35 - 39,Total,2770
Pasir Ris,Pasir Ris Drive,35 - 39,Total HDB^,2700
Pasir Ris,Pasir Ris Drive,35 - 39,1- and 2-Room Flats*,20
Pasir Ris,Pasir Ris Drive,35 - 39,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,35 - 39,4-Room Flats,1100
Pasir Ris,Pasir Ris Drive,35 - 39,5-Room and Executive Flats,1580
Pasir Ris,Pasir Ris Drive,35 - 39,Condominiums and Other Apartments,70
Pasir Ris,Pasir Ris Drive,35 - 39,Landed Properties,-
Pasir Ris,Pasir Ris Drive,35 - 39,Others,-
Pasir Ris,Pasir Ris Drive,40 - 44,Total,2620
Pasir Ris,Pasir Ris Drive,40 - 44,Total HDB^,2470
Pasir Ris,Pasir Ris Drive,40 - 44,1- and 2-Room Flats*,20
Pasir Ris,Pasir Ris Drive,40 - 44,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,40 - 44,4-Room Flats,1020
Pasir Ris,Pasir Ris Drive,40 - 44,5-Room and Executive Flats,1430
Pasir Ris,Pasir Ris Drive,40 - 44,Condominiums and Other Apartments,150
Pasir Ris,Pasir Ris Drive,40 - 44,Landed Properties,-
Pasir Ris,Pasir Ris Drive,40 - 44,Others,-
Pasir Ris,Pasir Ris Drive,45 - 49,Total,2710
Pasir Ris,Pasir Ris Drive,45 - 49,Total HDB^,2540
Pasir Ris,Pasir Ris Drive,45 - 49,1- and 2-Room Flats*,30
Pasir Ris,Pasir Ris Drive,45 - 49,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,45 - 49,4-Room Flats,1080
Pasir Ris,Pasir Ris Drive,45 - 49,5-Room and Executive Flats,1430
Pasir Ris,Pasir Ris Drive,45 - 49,Condominiums and Other Apartments,170
Pasir Ris,Pasir Ris Drive,45 - 49,Landed Properties,-
Pasir Ris,Pasir Ris Drive,45 - 49,Others,10
Pasir Ris,Pasir Ris Drive,50 - 54,Total,3350
Pasir Ris,Pasir Ris Drive,50 - 54,Total HDB^,3180
Pasir Ris,Pasir Ris Drive,50 - 54,1- and 2-Room Flats*,30
Pasir Ris,Pasir Ris Drive,50 - 54,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,50 - 54,4-Room Flats,1250
Pasir Ris,Pasir Ris Drive,50 - 54,5-Room and Executive Flats,1900
Pasir Ris,Pasir Ris Drive,50 - 54,Condominiums and Other Apartments,160
Pasir Ris,Pasir Ris Drive,50 - 54,Landed Properties,-
Pasir Ris,Pasir Ris Drive,50 - 54,Others,10
Pasir Ris,Pasir Ris Drive,55 - 59,Total,4840
Pasir Ris,Pasir Ris Drive,55 - 59,Total HDB^,4710
Pasir Ris,Pasir Ris Drive,55 - 59,1- and 2-Room Flats*,50
Pasir Ris,Pasir Ris Drive,55 - 59,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,55 - 59,4-Room Flats,1940
Pasir Ris,Pasir Ris Drive,55 - 59,5-Room and Executive Flats,2730
Pasir Ris,Pasir Ris Drive,55 - 59,Condominiums and Other Apartments,120
Pasir Ris,Pasir Ris Drive,55 - 59,Landed Properties,-
Pasir Ris,Pasir Ris Drive,55 - 59,Others,10
Pasir Ris,Pasir Ris Drive,60 - 64,Total,5220
Pasir Ris,Pasir Ris Drive,60 - 64,Total HDB^,5100
Pasir Ris,Pasir Ris Drive,60 - 64,1- and 2-Room Flats*,50
Pasir Ris,Pasir Ris Drive,60 - 64,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,60 - 64,4-Room Flats,2160
Pasir Ris,Pasir Ris Drive,60 - 64,5-Room and Executive Flats,2890
Pasir Ris,Pasir Ris Drive,60 - 64,Condominiums and Other Apartments,110
Pasir Ris,Pasir Ris Drive,60 - 64,Landed Properties,-
Pasir Ris,Pasir Ris Drive,60 - 64,Others,-
Pasir Ris,Pasir Ris Drive,65 - 69,Total,3770
Pasir Ris,Pasir Ris Drive,65 - 69,Total HDB^,3690
Pasir Ris,Pasir Ris Drive,65 - 69,1- and 2-Room Flats*,90
Pasir Ris,Pasir Ris Drive,65 - 69,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,65 - 69,4-Room Flats,1600
Pasir Ris,Pasir Ris Drive,65 - 69,5-Room and Executive Flats,2010
Pasir Ris,Pasir Ris Drive,65 - 69,Condominiums and Other Apartments,80
Pasir Ris,Pasir Ris Drive,65 - 69,Landed Properties,-
Pasir Ris,Pasir Ris Drive,65 - 69,Others,-
Pasir Ris,Pasir Ris Drive,70 - 74,Total,2480
Pasir Ris,Pasir Ris Drive,70 - 74,Total HDB^,2420
Pasir Ris,Pasir Ris Drive,70 - 74,1- and 2-Room Flats*,130
Pasir Ris,Pasir Ris Drive,70 - 74,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,70 - 74,4-Room Flats,1060
Pasir Ris,Pasir Ris Drive,70 - 74,5-Room and Executive Flats,1230
Pasir Ris,Pasir Ris Drive,70 - 74,Condominiums and Other Apartments,60
Pasir Ris,Pasir Ris Drive,70 - 74,Landed Properties,-
Pasir Ris,Pasir Ris Drive,70 - 74,Others,-
Pasir Ris,Pasir Ris Drive,75 - 79,Total,1370
Pasir Ris,Pasir Ris Drive,75 - 79,Total HDB^,1340
Pasir Ris,Pasir Ris Drive,75 - 79,1- and 2-Room Flats*,80
Pasir Ris,Pasir Ris Drive,75 - 79,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,75 - 79,4-Room Flats,570
Pasir Ris,Pasir Ris Drive,75 - 79,5-Room and Executive Flats,690
Pasir Ris,Pasir Ris Drive,75 - 79,Condominiums and Other Apartments,30
Pasir Ris,Pasir Ris Drive,75 - 79,Landed Properties,-
Pasir Ris,Pasir Ris Drive,75 - 79,Others,-
Pasir Ris,Pasir Ris Drive,80 - 84,Total,740
Pasir Ris,Pasir Ris Drive,80 - 84,Total HDB^,710
Pasir Ris,Pasir Ris Drive,80 - 84,1- and 2-Room Flats*,50
Pasir Ris,Pasir Ris Drive,80 - 84,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,80 - 84,4-Room Flats,280
Pasir Ris,Pasir Ris Drive,80 - 84,5-Room and Executive Flats,380
Pasir Ris,Pasir Ris Drive,80 - 84,Condominiums and Other Apartments,20
Pasir Ris,Pasir Ris Drive,80 - 84,Landed Properties,-
Pasir Ris,Pasir Ris Drive,80 - 84,Others,-
Pasir Ris,Pasir Ris Drive,85 - 89,Total,390
Pasir Ris,Pasir Ris Drive,85 - 89,Total HDB^,380
Pasir Ris,Pasir Ris Drive,85 - 89,1- and 2-Room Flats*,30
Pasir Ris,Pasir Ris Drive,85 - 89,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,85 - 89,4-Room Flats,150
Pasir Ris,Pasir Ris Drive,85 - 89,5-Room and Executive Flats,210
Pasir Ris,Pasir Ris Drive,85 - 89,Condominiums and Other Apartments,10
Pasir Ris,Pasir Ris Drive,85 - 89,Landed Properties,-
Pasir Ris,Pasir Ris Drive,85 - 89,Others,-
Pasir Ris,Pasir Ris Drive,90 & Over,Total,230
Pasir Ris,Pasir Ris Drive,90 & Over,Total HDB^,230
Pasir Ris,Pasir Ris Drive,90 & Over,1- and 2-Room Flats*,10
Pasir Ris,Pasir Ris Drive,90 & Over,3-Room Flats,-
Pasir Ris,Pasir Ris Drive,90 & Over,4-Room Flats,100
Pasir Ris,Pasir Ris Drive,90 & Over,5-Room and Executive Flats,120
Pasir Ris,Pasir Ris Drive,90 & Over,Condominiums and Other Apartments,-
Pasir Ris,Pasir Ris Drive,90 & Over,Landed Properties,-
Pasir Ris,Pasir Ris Drive,90 & Over,Others,-
Pasir Ris,Pasir Ris Park,Total,Total,7890
Pasir Ris,Pasir Ris Park,Total,Total HDB^,-
Pasir Ris,Pasir Ris Park,Total,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,Total,3-Room Flats,-
Pasir Ris,Pasir Ris Park,Total,4-Room Flats,-
Pasir Ris,Pasir Ris Park,Total,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,Total,Condominiums and Other Apartments,7590
Pasir Ris,Pasir Ris Park,Total,Landed Properties,290
Pasir Ris,Pasir Ris Park,Total,Others,10
Pasir Ris,Pasir Ris Park,0 - 4,Total,350
Pasir Ris,Pasir Ris Park,0 - 4,Total HDB^,-
Pasir Ris,Pasir Ris Park,0 - 4,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,0 - 4,3-Room Flats,-
Pasir Ris,Pasir Ris Park,0 - 4,4-Room Flats,-
Pasir Ris,Pasir Ris Park,0 - 4,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,0 - 4,Condominiums and Other Apartments,330
Pasir Ris,Pasir Ris Park,0 - 4,Landed Properties,20
Pasir Ris,Pasir Ris Park,0 - 4,Others,-
Pasir Ris,Pasir Ris Park,5 - 9,Total,570
Pasir Ris,Pasir Ris Park,5 - 9,Total HDB^,-
Pasir Ris,Pasir Ris Park,5 - 9,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,5 - 9,3-Room Flats,-
Pasir Ris,Pasir Ris Park,5 - 9,4-Room Flats,-
Pasir Ris,Pasir Ris Park,5 - 9,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,5 - 9,Condominiums and Other Apartments,560
Pasir Ris,Pasir Ris Park,5 - 9,Landed Properties,10
Pasir Ris,Pasir Ris Park,5 - 9,Others,-
Pasir Ris,Pasir Ris Park,10 - 14,Total,560
Pasir Ris,Pasir Ris Park,10 - 14,Total HDB^,-
Pasir Ris,Pasir Ris Park,10 - 14,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,10 - 14,3-Room Flats,-
Pasir Ris,Pasir Ris Park,10 - 14,4-Room Flats,-
Pasir Ris,Pasir Ris Park,10 - 14,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,10 - 14,Condominiums and Other Apartments,540
Pasir Ris,Pasir Ris Park,10 - 14,Landed Properties,20
Pasir Ris,Pasir Ris Park,10 - 14,Others,-
Pasir Ris,Pasir Ris Park,15 - 19,Total,480
Pasir Ris,Pasir Ris Park,15 - 19,Total HDB^,-
Pasir Ris,Pasir Ris Park,15 - 19,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,15 - 19,3-Room Flats,-
Pasir Ris,Pasir Ris Park,15 - 19,4-Room Flats,-
Pasir Ris,Pasir Ris Park,15 - 19,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,15 - 19,Condominiums and Other Apartments,460
Pasir Ris,Pasir Ris Park,15 - 19,Landed Properties,20
Pasir Ris,Pasir Ris Park,15 - 19,Others,-
Pasir Ris,Pasir Ris Park,20 - 24,Total,470
Pasir Ris,Pasir Ris Park,20 - 24,Total HDB^,-
Pasir Ris,Pasir Ris Park,20 - 24,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,20 - 24,3-Room Flats,-
Pasir Ris,Pasir Ris Park,20 - 24,4-Room Flats,-
Pasir Ris,Pasir Ris Park,20 - 24,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,20 - 24,Condominiums and Other Apartments,440
Pasir Ris,Pasir Ris Park,20 - 24,Landed Properties,30
Pasir Ris,Pasir Ris Park,20 - 24,Others,-
Pasir Ris,Pasir Ris Park,25 - 29,Total,390
Pasir Ris,Pasir Ris Park,25 - 29,Total HDB^,-
Pasir Ris,Pasir Ris Park,25 - 29,1- and 2-Room Flats*,-
Pasir Ris,Pasir Ris Park,25 - 29,3-Room Flats,-
Pasir Ris,Pasir Ris Park,25 - 29,4-Room Flats,-
Pasir Ris,Pasir Ris Park,25 - 29,5-Room and Executive Flats,-
Pasir Ris,Pasir Ris Park,25 - 29,Condominiums and Other Apartments,370
Pasir Ris,Pasir Ris Park,25 - 29,Landed Properties,20
Pasir Ris,Pasir Ris Park,25 - 29,Others,-
Pasir Ris,Pasir Ris Park,30 - 34,Total,390
Pasir Ris,Pasir Ris Park,30 - 34,Total HDB^,-
